ticker,name,company_id,publisher_status_id,company_type_id,industry_groups_id,company_nature_id,created_at,audited
 آذرنگین,آذر نگین,811620.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
 بنیاد تعاون نیروی انتظامی جمهوری اسلامی ایران,بنیاد تعاون نیروی انتظامی جمهوری اسلامی ایران,811774.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
 بین المللی خدمات مسافرت هوایی ایرانگردی و جهانگردی آزادی,بین المللی خدمات مسافرت هوایی ایرانگردی و جهانگردی آزادی,811602.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
 پترونیک,مهندسی پترونیک صنعت,,-1,-1,-1,1000005,2025-10-29 09:11:47,False
 توس پیوند,توس پیوند,811130.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
 حسابرسی و بازرسی هادی بینات,حسابرسی و بازرسی هادی بینات,811617.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
 مهندسی بهنیان جنوب,مهندسی بهنیان جنوب,751124.0,4,-1,-1,1000005,2025-10-29 09:11:47,False
وآتیه همکاران,سرمایه گذاری تامین آتیه همکاران مهر ایرانیان,46431179.0,3,1,46,1000002,2025-10-29 09:11:47,False
 ایجاد محیط,ایجاد محیط,811630.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
HK,HK,810347.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
سبد ساتین,سبد گردان ساتین,46431108.0,3,1,46,1000002,2025-10-29 09:11:47,False
آب منطقه ای  مازندران,آب منطقه ای  مازندران,810026.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
آب منطقه ای آذربایجان شرقی,آب منطقه ای آذربایجان شرقی,810023.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
آب منطقه ای آذربایجان غربی,آب منطقه ای آذربایجان غربی,810031.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
آب منطقه ای اردبیل,آب منطقه ای اردبیل,810244.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
آب منطقه ای استان بوشهر,آب منطقه ای استان بوشهر,810247.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
آب منطقه ای استان تهران,آب منطقه ای استان تهران,810018.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
آب منطقه ای استان فارس,آب منطقه ای استان فارس,810019.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
