id,name
33,ابزارپزشکی، اپتیکی و اندازه‌گیری
10,استخراج زغال سنگ
14,استخراج سایر معادن
13,استخراج کانه های فلزی
11,استخراج نفت گاز و خدمات جنبی جز اکتشاف
73,اطلاعات و ارتباطات
52,انبارداری و حمایت از فعالیتهای حمل و نقل
70,انبوه سازی، املاک و مستغلات
22,انتشار، چاپ و تکثیر
15,انواع فرآورده های غذایی و آشامیدنی
76,اوراق بهادار مبتنی بر دارایی فکری
69,اوراق تامین مالی
59,اوراق حق تقدم استفاده از تسهیلات مسکن
2,اوراق مشارکت و سپرده های بانکی
57,بانکها و موسسات اعتباری
66,بیمه وصندوق بازنشستگی به جزتامین اجتماعی
45,پیمانکاری صنعتی
80,تبلیغات و بازار پژوهی
46,تجارت عمده فروشی به جز وسایل نقلیه موتور
50,تجارت عمده وخرده فروشی وسائط نقلیه موتور
26,تولید محصولات کامپیوتری الکترونیکی ونوری
41,جمع آوری، تصفیه و توزیع آب
61,حمل و نقل آبی
51,حمل و نقل هوایی
62,حمل و نقل هوایی
60,حمل ونقل، انبارداری و ارتباطات
74,خدمات فنی و مهندسی
47,خرده فروشی،باستثنای وسایل نقلیه موتوری
34,خودرو و ساخت قطعات
19,دباغی، پرداخت چرم و ساخت انواع پاپوش
72,رایانه و فعالیت‌های وابسته به آن
32,ساخت دستگاه‌ها و وسایل ارتباطی
28,ساخت محصولات فلزی
35,سایر تجهیزات حمل و نقل
1,سایر صنایع
4,سایر فعالیتها
93,سایر فعالیتهای خدماتی
54,سایر محصولات کانی غیرفلزی
58,سایر واسطه گریهای مالی
56,سرمایه گذاریها
84,سلامت انسان و مددکاری اجتماعی
53,سیمان، آهک و گچ
39,شرکتهای چند رشته ای صنعتی
68,صندوق سرمایه گذاری قابل معامله
40,عرضه برق، گاز، بخاروآب گرم
23,فراورده های نفتی، کک و سوخت هسته ای
77,فعالبت های اجاره و لیزینگ
82,فعالیت پشتیبانی اجرائی اداری وحمایت کسب
71,فعالیت مهندسی، تجزیه، تحلیل و آزمایش فنی
90,فعالیت های هنری، سرگرمی و خلاقانه
63,فعالیتهای پشتیبانی و کمکی حمل و نقل و آژانسهای مسافرتی
94,فعالیتهای فرهنگی و ورزشی
67,فعالیتهای کمکی به نهادهای مالی واسط
27,فلزات اساسی
38,قند و شکر
49,کاشی و سرامیک
12,کشاورزی دامپروری و خدمات وابسته به آن
25,لاستیک و پلاستیک
29,ماشین آلات و تجهیزات
31,ماشین آلات و دستگاه‌های برقی
36,مبلمان و مصنوعات دیگر
20,محصولات چوبی
44,محصولات شیمیایی
42,محصولات غذایی و آشامیدنی به جز قند و شکر
21,محصولات کاغذی
64,مخابرات
3,مشارکتهای مدنی
17,منسوجات
43,مواد و محصولات دارویی
24,مواد و محصولات شیمیایی
55,هتل و رستوران
65,واسطه‌گریهای مالی و پولی
